['[카스텔로] 덴마크 까망베르 치즈'],['good '],"
got this cheese on sale
",['2020-11-03'],['1']
['[앙트르몽] 에멘탈 치즈'],['치즈. '],"
안짤것 같아서 구매했습니다.
",['2020-11-03'],['0']
['[앙트르몽] 에멘탈 치즈'],['맛나여..양은적어요 '],"
생각보다 작아요... 애호박 파스타 2인분에 거의 다 넣어 먹었어요. 꼬리꼬리한 냄새는 덜하고 맛은있어요.
",['2020-11-02'],['15']
['[앙트르몽] 에멘탈 치즈'],['궁금해서 구매 '],"
천연발효빵 첨가용
",['2020-10-31'],['13']
['[앙트르몽] 에멘탈 치즈'],['굿 '],"
아직 먹지는 않았지만 맛이 기대됩니다.
",['2020-10-31'],['10']
['[앙트르몽] 에멘탈 치즈'],['치즈 '],"
처음 먹어봤는데 냄새보단 직접 먹어보니 더 맛잇네여
",['2020-10-31'],['7']
['[앙트르몽] 에멘탈 치즈'],['항상 사는 치즈 '],"
그냥 먹어도 고소하고 샐러드에 넣어 먹어도 맛있고 우리 아이도 좋아하는 치즈!!
",['2020-10-29'],['23']
['[앙트르몽] 에멘탈 치즈'],['치즈 '],"
맛있을것같네요....
",['2020-10-29'],['2']
['[앙트르몽] 에멘탈 치즈'],['맛이 '],"
제 입맛엔 치즈맛이 연하고 그저그래요
",['2020-10-29'],['16']
['[앙트르몽] 에멘탈 치즈'],['맛있어요 '],"
 와인이랑 같이 먹으려고 샀는데 맛있어요.
",['2020-10-29'],['3']
['[앙트르몽] 에멘탈 치즈'],['치즈 '],"
에멘탈 치즈 맛있습니다
",['2020-10-29'],['6']
['[앙트르몽] 에멘탈 치즈'],['치즈 그러인더 '],"
그러인더에 갈아먹었어요
",['2020-10-28'],['8']
['[앙트르몽] 에멘탈 치즈'],['이름이 '],"
귀여워요 ㅜ무슨맛일까요
",['2020-10-28'],['11']
['[앙트르몽] 에멘탈 치즈'],['굿 '],"
아이들 어른들 다 잘 먹는 치즈에요~
",['2020-10-28'],['13']
['[앙트르몽] 에멘탈 치즈'],['슬라이스 없어서 '],"
구입했는데 역시 맛있어요~
",['2020-10-27'],['9']
['[안젤로] 고르곤졸라 피칸테'],['상함ㅋ '],"
고르곤졸라치즈랑 해서 피자
만들었는데 고르곤 상해서 망함
",['2020-11-03'],['0']
['[안젤로] 고르곤졸라 피칸테'],['좋아요 '],"
안녕하세요, 고객님. 마켓컬리 입니다.
우선, 즐거운 마음으로 구매하여 주신 [[안젤로] 고르곤졸라 피칸테] 상품이나 이렇게 고객님께 만족스럽지 못한 상품으로 불편드리게 되어 죄송합니다. 컬리를 믿고 이용하여 주셨는데 고객님의 기대에 부응하지 못하게 되어 저희의 마음도 너무나 무겁습니다. 
온전한 상품 제공드려야 함이 원칙이나, 혹여 제품 이용이 어려우셨던 경우에는 번거로우시겠지만 상품의 이상을 확인할 수 있는 사진과 함께 컬리의 고객행복센터(1644-1107), 카카오톡 또는 1:1게시판으로 문의 남겨주시면 신속히 도움 드릴 수 있도록 노력하겠습니다. 
컬리에서는 지속적인 상품의 품질관리와 자체적인 판매기준 수립을 통해 고객님께 안전하고 신선한 먹거리를 제공하고자 최선을 다하고 있습니다. 
또한 다양한 채널로 남겨주신 목소리들을 지속적으로 모니터링 하고 있으며, 상품의 품질을 비롯해 배송, 서비스 등에 대해서 아쉬운 부분들을 찾아 개선하고자 노력하고 있습니다.
고객님께 불편을 드리게 된 점 거듭 사과드리며 고객님의 말씀 귀기울여 보다 나은 상품과 즐거운 쇼핑이 되실 수 있도록 노력하는 컬리가 되겠습니다.
감사합니다. 마켓컬리 드림.
",['2020-11-04'],['0']
['[안젤로] 고르곤졸라 피칸테'],['골곤졸라 피자용 '],"
맛있어요. 피자 만들어 먹으니 좋네요
",['2020-11-02'],['0']
['[안젤로] 고르곤졸라 피칸테'],['고르곤졸라 피자 '],"
큼직하게 떼서 올렸더니
진짜 맛있네요~
",['2020-11-02'],['2']
['[안젤로] 고르곤졸라 피칸테'],['좋아요 '],"
오랜만에 고르곤졸라 피자 먹고싶어서 샀어요. 맛이 진하고 조금 짠편이에요
",['2020-11-01'],['0']
['[안젤로] 고르곤졸라 피칸테'],['풍성한 꼬리꼬리향. '],"
아이와 피자 만들기 하는데 쉽고 간편한 고르곤졸라 만들려고 주문했어요
",['2020-10-30'],['0']
['[안젤로] 고르곤졸라 피칸테'],['피자 '],"
요즘 피자 만드는 재미 들려서 고르곤졸라도 도전해보려고요
",['2020-10-30'],['0']
['[안젤로] 고르곤졸라 피칸테'],['피자와 파이 '],"
만들 때 쓰려고 구매했어요
너무 많이 넣지 않아도 향이 강해요
",['2020-10-30'],['0']
['[안젤로] 고르곤졸라 피칸테'],['잘받았어요 '],"
포장부분이 약간 찢어져서 왔네요...
그래도 잘받았습니다
",['2020-10-30'],['0']
['[안젤로] 고르곤졸라 피칸테'],['피자 '],"
피자할때 꼭 넣어요
",['2020-10-30'],['0']
['[안젤로] 고르곤졸라 피칸테'],['고르곤절라 '],"
고르곤절라 또띠어피자하게 좋아요
",['2020-10-29'],['2']
['[안젤로] 고르곤졸라 피칸테'],['굿 '],"
마요에 섞어서 채소딥으로 먹기 딱
",['2020-10-29'],['0']
['[안젤로] 고르곤졸라 피칸테'],['강추 '],"
재구입입니다
향이 강하고 신선하고 깊은 맛
",['2020-10-29'],['2']
['[빔스터] 110년 전통 고다치즈 3종'],['항상 주문 '],"
맛있어요 꼬소해서 항상 재주문합니다
",['2020-10-30'],['8']
['[빔스터] 110년 전통 고다치즈 3종'],['맛있어요 ! '],"
로얄로 구매했는데 디저트에 갈아서 올려도 단짠단짠하니 더 풍미있어지고 맛있어요 !!!
",['2020-10-30'],['6']
['[빔스터] 110년 전통 고다치즈 3종'],['되게 '],"
짜요 ㅎㅎㅎㅎㅎㅎ 재구매 의사없음요~~
",['2020-10-30'],['11']
['[빔스터] 110년 전통 고다치즈 3종'],['아직.. '],"
리뷰보고, 와인과함께 먹어볼려구 구입했어요.
",['2020-10-30'],['9']
['[빔스터] 110년 전통 고다치즈 3종'],['맛있어요 '],"
엄마가 맛있다고 하시네요
",['2020-10-28'],['3']
['[빔스터] 110년 전통 고다치즈 3종'],['맛있어요 '],"
드라이하고 쫀득하면서 깊은맛이 납니다
",['2020-10-28'],['7']
['[빔스터] 110년 전통 고다치즈 3종'],['신랑 와인안주로~~ '],"
치즈의 풍미가 진해 와인이랑 딱 어울려요~
",['2020-10-28'],['5']
['[빔스터] 110년 전통 고다치즈 3종'],['항상 구매해요. '],"
처음엔 와인 안주로만 먹었는데.
요즘엔 샐러드에도 활용하고있어요.
그냥 먹어도 너무 맛있어서 너무 빨리 먹게되네요
",['2020-10-27'],['7']
['[빔스터] 110년 전통 고다치즈 3종'],['무난 '],"
와인 안주로 종종먹어요.
",['2020-10-27'],['2']
['[빔스터] 110년 전통 고다치즈 3종'],['로얄 고다치즈 '],"
고다치즈 넘 조하아하는데
맛있을거같아요
",['2020-10-27'],['8']
['[빔스터] 110년 전통 고다치즈 3종'],['쪼매 '],"
맛있다길래 넘작네ㅎ
",['2020-10-27'],['6']
['[빔스터] 110년 전통 고다치즈 3종'],['빔스터 '],"
맛있어요
샐러드에도 샌드위치에도 
그냥 집어 먹기도 여기저기 먹기좋아요
",['2020-10-25'],['0']
