category,brand_name,product_name,review_title,review_detail,review_date,review_views
크림,퀘스크렘,블루치즈 크림치즈,['블루치즈 '],"
좋아하는 사람 무조건 사세요. 사워브레드랑 쨈이랑 궁합최고
",['2020-07-23'],['5']
크림,퀘스크렘,블루치즈 크림치즈,['꼬리한 블루치즈 '],"
아웃백 블루치즈 소스를 생각하며 샀다
블루치즈의 꼬리한 향이 나면서 크림치즈의 묵직함이 좋았다
크림치즈를 듬뿍 발라 먹는것을 좋아하는데 이건 좀 짜서 많이 바를수 없었다
",['2020-07-23'],['11']
크림,퀘스크렘,블루치즈 크림치즈,['좋아요 '],"
블루치즈 좋아하는데 맛있네요
",['2020-07-22'],['7']
크림,퀘스크렘,블루치즈 크림치즈,['꼬릿한 향 '],"
향도 맛도 강하고 맛있어요^^
",['2020-07-21'],['5']
크림,퀘스크렘,블루치즈 크림치즈,['맛있어요 '],"
빵에 발라먹으니 맛있네요~~^^
",['2020-07-21'],['2']
크림,퀘스크렘,블루치즈 크림치즈,['굿 '],"
샌드위치빵에 발라 먹으니 괜찮아요
",['2020-07-21'],['1']
크림,퀘스크렘,블루치즈 크림치즈,['맛나요 '],"
후훗 맛나요 아주ㅎ
",['2020-07-19'],['6']
크림,퀘스크렘,블루치즈 크림치즈,맛있어요,맛있어서 다먹고또사야지,['2020-07-19'],['3']
체다,사토리,헤리티지 체다,['아마 수십개 먹은듯... '],"
샐러드에 무난히 어울리고 아이도 잘먹어요
",['2020-10-11'],['4']
체다,사토리,헤리티지 체다,['늘 구매 '],"
잘랐을때 부서지지 않고 모양이 유지되어 샐러드 넣기 좋아요
",['2020-10-11'],['2']
체다,사토리,헤리티지 체다,['부담스럽지 않은 치즈 '],"
다만, 좀 밍밍한 느낌이 있어요
",['2020-10-05'],['4']
체다,사토리,헤리티지 체다,['괜찮아요~ '],"
일반 치즈 보다 더 풍미가 있네요
",['2020-09-24'],['3']
체다,사토리,헤리티지 체다,['너무 맛있어요 '],"
그냥 밋밋 한 이름만 체다 치즈인것과는 확연히 달라요. 안주로도 샌드위치에도 언제나 최고입니다
",['2020-09-21'],['2']
체다,사토리,헤리티지 체다,['치즈가 맛있네요 '],"
치즈가 맛있네요 강추
",['2020-09-16'],['2']
체다,사토리,헤리티지 체다,['세일해서 구매 '],"
같은 브랜드 치즈가 다 맛있어서 구매했어요
",['2020-09-14'],['1']
체다,사토리,헤리티지 체다,['이것도 맛있어여 '],"
저의 최애 술안주 치즈는 오뚜기 라망 스틱 노블치즈 인데 잘 안팔아요.. 그래서 찾다찾다 마켓컬리까지 왔는데..제맘속치즈보단 뒷맛이 덜 꼬소하지만 맛있어요
",['2020-09-13'],['3']
체다,사토리,헤리티지 체다,['맛있어요. '],"
와인안주로 먹어요.
",['2020-09-13'],['2']
체다,사토리,헤리티지 체다,['두루두루 좋아요. '],"
갈아서도 먹고 잘라서도 먹고 좋아요.
",['2020-09-13'],['1']
체다,사토리,헤리티지 체다,['이렇게 맛있다니!! '],"
후기만 보고 샀는데 정말 안샀으면 후회할뻔 ㅠㅠㅠㅠㅠ 그냥 먹어도 빵에 올려먹어도 샌드위치에 넣어먹어도 다 맛있어요. 오자마자 맛보려고 뜯었다가 맨입에 계속 먹었어요.
",['2020-09-12'],['4']
체다,사토리,헤리티지 체다,['아이가 좋아해서 '],"
자주 삽니다 ㅎㅎ 샐러드에도 제격!
",['2020-09-11'],['4']
체다,사토리,헤리티지 체다,['굿 '],"
고소하고 맛있어서 만족해요
",['2020-09-07'],['4']
