name,country,matching,texture,types,category,price,content,img
[리브와레 자카망] 콩테 200g 3종,프랑스,"테이블치즈, 샌드위치, 견과류, 와인",경성치즈,자연치즈,콩테,"18,900원",특별한 날을 위해 숨겨온 치즈,https://img-cf.kurly.com/shop/data/goods/1525332535529l0.jpg
[라 콘타디나] 버팔로 모짜렐라,이탈리아,"올리브오일, 소금",후레쉬치즈,자연치즈,모짜렐라,"9,600원",디저트 대신 떠먹고 싶은 구름을 닮은 치즈,https://img-cf.kurly.com/shop/data/goods/1523513645206l0.jpg
[프란시아] 모짜렐라 부팔라,이탈리아,"토마토,바질",후레쉬치즈,자연치즈,모짜렐라,"6,240원",물소 우유로 만든 모짜렐라의 진한 매력,https://img-cf.kurly.com/shop/data/goods/1487655849283l0.jpg
[zott] 바이에른탈러 에멘탈 치즈,독일,"샐러드, 샌드위치",하드치즈,자연치즈,에멘탈,"6,400원",맛도 모양도 매력 넘치는,https://img-cf.kurly.com/shop/data/goods/1587965094771l0.jpg
[퀘소로시난테] 만체고 치즈 6개월,스페인,"타파스, 핑거푸드, 샐러드, 샤퀴테리, 멤브리요, 와인, 맥주",하드치즈,자연치즈,만체고,"7,900원",6개월 숙성 스페인 정통 치즈,https://img-cf.kurly.com/shop/data/goods/1597801668720l0.jpg
[카사로] 모짜렐라 로그,미국,"카프레제 샐러드, 샌드위치, 샐러드, 마르게리타 피자",후레쉬치즈,자연치즈,모짜렐라,"15,900원",위스콘신에서 탄생한 신선한 치즈!,https://img-cf.kurly.com/shop/data/goods/153925004370l0.jpg
[프리코] 스모크 치즈 2종,네덜란드,"간식,와인,햄버거",소프트치즈,자연치즈,스모크치즈,"3,500원",훈연한 치즈의 그윽한 풍미,https://img-cf.kurly.com/shop/data/goods/1563252513396l0.jpg
[암브로시] 유기농 파르마지아노 레지아노,이탈리아,"와인, 맥주, 파스타, 리소토",하드치즈,자연치즈,파르미지아노 레지아노,"11,900원",유기농 우유로 만든 정교한 풍미,https://img-cf.kurly.com/shop/data/goods/155894449850l0.jpg
[앙트르몽] 에멘탈 치즈,프랑스,"퐁듀,피자,샌드위치",하드치즈,자연치즈,에멘탈,"7,200원",이탈리아에서 만든 신선함을 그대로 간직한,https://img-cf.kurly.com/shop/data/goods/1511158446609l0.jpg
[브레살렛] 모짜렐라 카우,이탈리아,"카프레제, 샌드위치, 발사믹식초",후레쉬치즈,자연치즈,모짜렐라,"3,960원",이탈리아에서 생산된 고소한 치즈,https://img-cf.kurly.com/shop/data/goods/1595313734373l0.jpg
[란다나] 저지 고다 머추어 치즈,네덜란드,"샌드위치, 토스트, 카나페, 와인, 맥주",세미하드치즈,자연치즈,고다,"12,500원",고급 품종인 저지 소의 우유로 만든 고다 치즈,https://img-cf.kurly.com/shop/data/goods/1577777190648l0.jpg
